instance_name,var_count,tseitin_var_count,compile_time,ddnnf_nodecount_plus,ddnnf_nodecount_mult,sddnnf_nodecount_plus,sddnnf_nodecount_mult,ddnnf_exist_nodecount_plus,ddnnf_exist_nodecount_mult,sddnnf_exist_nodecount_plus,sddnnf_exist_nodecount_mult,ddnnf_tseitin_nodecount_plus,ddnnf_tseitin_nodecount_mult,sddnnf_tseitin_nodecount_plus,sddnnf_tseitin_nodecount_mult
noisy_or_2,7,2,0.452,4,13,6,15,4,8,6,10,2,5,5,8
noisy_or_3,10,3,0.242,7,23,10,26,7,14,10,17,4,8,9,16
noisy_or_4,13,4,0.352,10,34,14,38,10,21,14,25,6,11,13,26
noisy_or_5,16,5,0.123,13,46,18,51,13,29,18,34,8,14,17,38
noisy_or_6,19,6,0.292,16,59,22,65,16,38,22,44,10,17,21,52
noisy_or_7,22,7,0.376,19,73,26,80,19,48,26,55,12,20,25,68
noisy_or_8,25,8,0.187,22,88,30,96,22,59,30,67,14,23,29,86
noisy_or_9,28,9,0.192,25,104,34,113,25,71,34,80,16,26,33,106
noisy_or_10,31,10,0.405,28,121,38,131,28,84,38,94,18,29,37,128
noisy_or_11,34,11,0.247,31,139,42,150,31,98,42,109,20,32,41,152
noisy_or_12,37,12,0.252,34,158,46,170,34,113,46,125,22,35,45,178
noisy_or_13,40,13,0.246,37,178,50,191,37,129,50,142,24,38,49,206
noisy_or_14,43,14,0.234,40,199,54,213,40,146,54,160,26,41,53,236
noisy_or_15,46,15,0.136,43,221,58,236,43,164,58,179,28,44,57,268
noisy_or_16,49,16,0.181,46,244,62,260,46,183,62,199,30,47,61,302
noisy_or_17,52,17,0.125,49,268,66,285,49,203,66,220,32,50,65,338
noisy_or_18,55,18,0.138,52,293,70,311,52,224,70,242,34,53,69,376
noisy_or_19,58,19,0.085,55,319,74,338,55,246,74,265,36,56,73,416
noisy_or_20,61,20,0.131,58,346,78,366,58,269,78,289,38,59,77,458
noisy_or_21,64,21,0.138,61,374,82,395,61,293,82,314,40,62,81,502
noisy_or_22,67,22,0.126,64,403,86,425,64,318,86,340,42,65,85,548
noisy_or_23,70,23,0.132,67,433,90,456,67,344,90,367,44,68,89,596
noisy_or_24,73,24,0.132,70,464,94,488,70,371,94,395,46,71,93,646
noisy_or_25,76,25,0.126,73,496,98,521,73,399,98,424,48,74,97,698
noisy_or_26,79,26,0.132,76,529,102,555,76,428,102,454,50,77,101,752
noisy_or_27,82,27,0.179,79,563,106,590,79,458,106,485,52,80,105,808
noisy_or_28,85,28,0.127,82,598,110,626,82,489,110,517,54,83,109,866
noisy_or_29,88,29,0.178,85,634,114,663,85,521,114,550,56,86,113,926
noisy_or_30,91,30,0.138,88,671,118,701,88,554,118,584,58,89,117,988
noisy_or_31,94,31,0.182,91,709,122,740,91,588,122,619,60,92,121,1052
noisy_or_32,97,32,0.134,94,748,126,780,94,623,126,655,62,95,125,1118
noisy_or_33,100,33,0.085,97,788,130,821,97,659,130,692,64,98,129,1186
noisy_or_34,103,34,0.176,100,829,134,863,100,696,134,730,66,101,133,1256
noisy_or_35,106,35,0.128,103,871,138,906,103,734,138,769,68,104,137,1328
noisy_or_36,109,36,0.191,106,914,142,950,106,773,142,809,70,107,141,1402
noisy_or_37,112,37,0.125,109,958,146,995,109,813,146,850,72,110,145,1478
noisy_or_38,115,38,0.182,112,1003,150,1041,112,854,150,892,74,113,149,1556
noisy_or_39,118,39,0.148,115,1049,154,1088,115,896,154,935,76,116,153,1636
noisy_or_40,121,40,0.152,118,1096,158,1136,118,939,158,979,78,119,157,1718
noisy_or_41,124,41,0.127,121,1144,162,1185,121,983,162,1024,80,122,161,1802
noisy_or_42,127,42,0.218,124,1193,166,1235,124,1028,166,1070,82,125,165,1888
noisy_or_43,130,43,0.126,127,1243,170,1286,127,1074,170,1117,84,128,169,1976
noisy_or_44,133,44,0.125,130,1294,174,1338,130,1121,174,1165,86,131,173,2066
noisy_or_45,136,45,0.183,133,1346,178,1391,133,1169,178,1214,88,134,177,2158
noisy_or_46,139,46,0.181,136,1399,182,1445,136,1218,182,1264,90,137,181,2252
noisy_or_47,142,47,0.158,139,1453,186,1500,139,1268,186,1315,92,140,185,2348
noisy_or_48,145,48,0.133,142,1508,190,1556,142,1319,190,1367,94,143,189,2446
noisy_or_49,148,49,0.140,145,1564,194,1613,145,1371,194,1420,96,146,193,2546
noisy_or_50,151,50,0.181,148,1621,198,1671,148,1424,198,1474,98,149,197,2648
noisy_or_51,154,51,0.126,151,1679,202,1730,151,1478,202,1529,100,152,201,2752
noisy_or_52,157,52,0.125,154,1738,206,1790,154,1533,206,1585,102,155,205,2858
noisy_or_53,160,53,0.194,157,1798,210,1851,157,1589,210,1642,104,158,209,2966
noisy_or_54,163,54,0.133,160,1859,214,1913,160,1646,214,1700,106,161,213,3076
noisy_or_55,166,55,0.180,163,1921,218,1976,163,1704,218,1759,108,164,217,3188
noisy_or_56,169,56,0.188,166,1984,222,2040,166,1763,222,1819,110,167,221,3302
noisy_or_57,172,57,0.153,169,2048,226,2105,169,1823,226,1880,112,170,225,3418
noisy_or_58,175,58,0.129,172,2113,230,2171,172,1884,230,1942,114,173,229,3536
noisy_or_59,178,59,0.182,175,2179,234,2238,175,1946,234,2005,116,176,233,3656
noisy_or_60,181,60,0.132,178,2246,238,2306,178,2009,238,2069,118,179,237,3778
noisy_or_61,184,61,0.132,181,2314,242,2375,181,2073,242,2134,120,182,241,3902
noisy_or_62,187,62,0.227,184,2383,246,2445,184,2138,246,2200,122,185,245,4028
noisy_or_63,190,63,0.179,187,2453,250,2516,187,2204,250,2267,124,188,249,4156
noisy_or_64,193,64,0.128,190,2524,254,2588,190,2271,254,2335,126,191,253,4286
noisy_or_65,196,65,0.182,193,2596,258,2661,193,2339,258,2404,128,194,257,4418
noisy_or_66,199,66,0.127,196,2669,262,2735,196,2408,262,2474,130,197,261,4552
noisy_or_67,202,67,0.179,199,2743,266,2810,199,2478,266,2545,132,200,265,4688
noisy_or_68,205,68,0.138,202,2818,270,2886,202,2549,270,2617,134,203,269,4826
noisy_or_69,208,69,0.183,205,2894,274,2963,205,2621,274,2690,136,206,273,4966
noisy_or_70,211,70,0.185,208,2971,278,3041,208,2694,278,2764,138,209,277,5108
noisy_or_71,214,71,0.189,211,3049,282,3120,211,2768,282,2839,140,212,281,5252
noisy_or_72,217,72,0.129,214,3128,286,3200,214,2843,286,2915,142,215,285,5398
noisy_or_73,220,73,0.176,217,3208,290,3281,217,2919,290,2992,144,218,289,5546
noisy_or_74,223,74,0.135,220,3289,294,3363,220,2996,294,3070,146,221,293,5696
noisy_or_75,226,75,0.187,223,3371,298,3446,223,3074,298,3149,148,224,297,5848
noisy_or_76,229,76,0.194,226,3454,302,3530,226,3153,302,3229,150,227,301,6002
noisy_or_77,232,77,0.185,229,3538,306,3615,229,3233,306,3310,152,230,305,6158
noisy_or_78,235,78,0.189,232,3623,310,3701,232,3314,310,3392,154,233,309,6316
noisy_or_79,238,79,0.176,235,3709,314,3788,235,3396,314,3475,156,236,313,6476
noisy_or_80,241,80,0.179,238,3796,318,3876,238,3479,318,3559,158,239,317,6638
noisy_or_81,244,81,0.180,241,3884,322,3965,241,3563,322,3644,160,242,321,6802
noisy_or_82,247,82,0.126,244,3973,326,4055,244,3648,326,3730,162,245,325,6968
noisy_or_83,250,83,0.187,247,4063,330,4146,247,3734,330,3817,164,248,329,7136
noisy_or_84,253,84,0.176,250,4154,334,4238,250,3821,334,3905,166,251,333,7306
noisy_or_85,256,85,0.181,253,4246,338,4331,253,3909,338,3994,168,254,337,7478
noisy_or_86,259,86,0.134,256,4339,342,4425,256,3998,342,4084,170,257,341,7652
noisy_or_87,262,87,0.183,259,4433,346,4520,259,4088,346,4175,172,260,345,7828
noisy_or_88,265,88,0.175,262,4528,350,4616,262,4179,350,4267,174,263,349,8006
noisy_or_89,268,89,0.174,265,4624,354,4713,265,4271,354,4360,176,266,353,8186
noisy_or_90,271,90,0.173,268,4721,358,4811,268,4364,358,4454,178,269,357,8368
noisy_or_91,274,91,0.176,271,4819,362,4910,271,4458,362,4549,180,272,361,8552
noisy_or_92,277,92,0.174,274,4918,366,5010,274,4553,366,4645,182,275,365,8738
noisy_or_93,280,93,0.179,277,5018,370,5111,277,4649,370,4742,184,278,369,8926
noisy_or_94,283,94,0.234,280,5119,374,5213,280,4746,374,4840,186,281,373,9116
noisy_or_95,286,95,0.181,283,5221,378,5316,283,4844,378,4939,188,284,377,9308
noisy_or_96,289,96,0.177,286,5324,382,5420,286,4943,382,5039,190,287,381,9502
noisy_or_97,292,97,0.176,289,5428,386,5525,289,5043,386,5140,192,290,385,9698
noisy_or_98,295,98,0.179,292,5533,390,5631,292,5144,390,5242,194,293,389,9896
noisy_or_99,298,99,0.227,295,5639,394,5738,295,5246,394,5345,196,296,393,10096
noisy_or_100,301,100,0.191,298,5746,398,5846,298,5349,398,5449,198,299,397,10298
